22.05.2024 9:50:08.237 CAN2 ID=0x13C14BFD, D(8)=0xAC-9A-64-CA-D5-BB-B8-FF
22.05.2024 9:50:08.237 CAN2 ID=0x13C14CFD, D(8)=0x2E-DD-06-2C-00-12-14-F2
22.05.2024 9:50:08.237 CAN2 ID=0x13C14DFD, D(8)=0xAF-0C-B8-13-91-FF-88-3A
22.05.2024 9:50:08.237 CAN2 ID=0x13C14EFD, D(8)=0x07-00-00-00-8B-CC-F3-ED
22.05.2024 9:50:08.237 CAN2 ID=0x13C14FFD, D(8)=0x85-07-A1-FF-99-6C-08-11
22.05.2024 9:50:08.237 CAN2 ID=0x13C140FD, D(8)=0x00-14-5A-BD-B0-11-DD-D3
22.05.2024 9:50:08.237 CAN2 ID=0x13C141FD, D(8)=0xFB-FF-18-EE-09-00-00-00
22.05.2024 9:50:08.237 CAN2 ID=0x13C142FD, D(8)=0xB8-AD-6D-35-EC-7D-A9-FF
22.05.2024 9:50:08.237 CAN2 ID=0x13C143FD, D(8)=0xF2-BB-0A-00-00-00-00-00
22.05.2024 9:50:08.237 CAN2 ID=0x13C144FD, D(8)=0x00-00-00-00-00-00-76-97
22.05.2024 9:50:08.237 CAN2 ID=0x13C145FD, D(8)=0x0B-00-00-00-D5-CB-B0-11
22.05.2024 9:50:08.237 CAN2 ID=0x13C146FD, D(8)=0x39-E2-BB-FF-F0-E2-0C-00
22.05.2024 9:50:08.237 CAN2 ID=0x13C147FD, D(8)=0x00-00-A0-CC-F3-ED-BE-D8
22.05.2024 9:50:08.237 CAN2 ID=0x13C148FD, D(8)=0xBF-FF-A9-B6-0D-00-00-00
22.05.2024 9:50:08.237 CAN2 ID=0x13C149FD, D(8)=0xD2-7B-DE-11-D7-FD-B6-FF
22.05.2024 9:50:08.237 CAN2 ID=0x13C14AFD, D(8)=0x95-F2-0E-00-00-00-00-00
22.05.2024 9:50:08.237 CAN2 ID=0x13C14BFD, D(8)=0x00-00-00-00-00-00-00-92
22.05.2024 9:50:08.237 CAN2 ID=0x13C14CFD, D(8)=0x0F-00-00-00-00-00-00-00
22.05.2024 9:50:08.237 CAN2 ID=0x13C14DFD, D(8)=0x00-00-00-00-55-17-10-00
22.05.2024 9:50:08.237 CAN2 ID=0x13C14EFD, D(8)=0x00-00-00-00-00-00-00-00
22.05.2024 9:50:08.237 CAN2 ID=0x13C14FFD, D(8)=0x00-00-F9-8A-11-00-00-00
22.05.2024 9:50:08.237 CAN2 ID=0x13C140FD, D(8)=0x32-BD-B0-11-1D-64-BF-FF
22.05.2024 9:50:08.424 CAN1 ID=0x118100FA, D(8)=0x0F-60-0F-00-00-40-00-00
22.05.2024 9:50:08.424 CAN1 ID=0x118141FA, D(8)=0x00-00-00-00-00-00-00-00
22.05.2024 9:50:08.424 CAN1 ID=0x118142FA, D(8)=0x00-00-00-00-00-00-00-00
22.05.2024 9:50:08.424 CAN1 ID=0x118143FA, D(8)=0x0A-00-00-00-00-00-00-00
22.05.2024 9:50:08.424 CAN1 ID=0x118184FA, D(8)=0x00-00-00-00-00-00-00-00
22.05.2024 9:50:08.424 CAN2 ID=0x13C141FD, D(8)=0xF9-72-12-00-00-00-00-00
22.05.2024 9:50:08.424 CAN2 ID=0x13C142FD, D(8)=0x00-00-00-00-00-00-42-88
22.05.2024 9:50:08.424 CAN2 ID=0x13C143FD, D(8)=0x13-00-00-00-00-00-00-00
22.05.2024 9:50:08.424 CAN2 ID=0x13C144FD, D(8)=0x00-00-00-00-17-0D-14-00
22.05.2024 9:50:08.424 CAN2 ID=0x13C145FD, D(8)=0x00-00-B4-AD-6D-35-F4-2F
22.05.2024 9:50:08.424 CAN2 ID=0x13C146FD, D(8)=0xA3-FF-D5-F2-15-00-00-00
22.05.2024 9:50:08.424 CAN2 ID=0x13C147FD, D(8)=0x00-00-00-00-00-00-00-00
22.05.2024 9:50:08.424 CAN2 ID=0x13C148FD, D(8)=0xDA-0A-16-00-00-00-93-CC
22.05.2024 9:50:08.424 CAN2 ID=0x13C149FD, D(8)=0xF3-ED-46-19-AD-FF-EA-A8
22.05.2024 9:50:08.424 CAN2 ID=0x13C14AFD, D(8)=0x17-00-00-00-92-CC-F3-ED
22.05.2024 9:50:08.424 CAN2 ID=0x13C18BFD, D(8)=0x10-BC-AA-FF-EE-49-F3-73
22.05.2024 9:50:08.424 CAN2 ID=0x108100FA, D(8)=0x8D-20-08-00-00-00-00-08
22.05.2024 9:50:08.424 CAN2 ID=0x108141FA, D(8)=0x08-08-08-07-00-00-00-00
22.05.2024 9:50:08.424 CAN2 ID=0x108182FA, D(8)=0x00-00-00-00-00-00-00-03
22.05.2024 9:50:08.643 CAN1 ID=0x03C000F5, D(8)=0x01-01-01-00-05-26-83-64
22.05.2024 9:50:08.643 CAN2 ID=0x03C000F5, D(8)=0x01-01-01-00-05-26-83-64
22.05.2024 9:50:08.830 CAN2 ID=0x13C700FD, D(8)=0xFF-81-AA-0F-10-00-F7-00
22.05.2024 9:50:08.830 CAN2 ID=0x13C741FD, D(8)=0x50-6D-07-7B-E8-44-53-FF
22.05.2024 9:50:08.830 CAN2 ID=0x13C742FD, D(8)=0x88-02-0C-63-55-FD-5B-BD
22.05.2024 9:50:08.830 CAN2 ID=0x13C743FD, D(8)=0x36-02-00-00-00-00-00-00
22.05.2024 9:50:08.892 CAN1 ID=0x13C700FD, D(8)=0xFF-81-AA-0F-10-00-F7-00
22.05.2024 9:50:08.892 CAN1 ID=0x13C741FD, D(8)=0x50-6D-07-7B-E8-44-53-FF
22.05.2024 9:50:08.892 CAN1 ID=0x13C742FD, D(8)=0x88-02-0C-63-55-FD-5B-BD
22.05.2024 9:50:08.892 CAN1 ID=0x13C743FD, D(8)=0x36-02-00-00-00-00-00-00
22.05.2024 9:50:08.892 CAN1 ID=0x13C744FD, D(8)=0x00-00-00-00-00-00-80-29
22.05.2024 9:50:08.892 CAN1 ID=0x13C785FD, D(8)=0x00-00-C4-F4-55-55-55-55
22.05.2024 9:50:08.892 CAN1 ID=0x13C700FD, D(8)=0xFF-81-AB-0F-AA-00-F7-00
22.05.2024 9:50:08.892 CAN1 ID=0x13C741FD, D(8)=0xB5-6C-07-7B-E8-44-00-31
22.05.2024 9:50:08.892 CAN1 ID=0x13C742FD, D(8)=0x00-10-74-12-34-EF-C7-E4
22.05.2024 9:50:08.892 CAN1 ID=0x13C743FD, D(8)=0x37-00-CA-D1-01-00-00-00
22.05.2024 9:50:08.892 CAN1 ID=0x13C744FD, D(8)=0xF0-8E-29-E7-58-56-49-01
22.05.2024 9:50:08.892 CAN1 ID=0x13C745FD, D(8)=0xF9-07-02-32-00-12-BC-CC
22.05.2024 9:50:08.892 CAN1 ID=0x13C746FD, D(8)=0xB0-11-26-64-53-00-9C-0A
22.05.2024 9:50:08.892 CAN1 ID=0x13C747FD, D(8)=0x03-12-00-13-F6-CC-F3-ED
22.05.2024 9:50:08.892 CAN1 ID=0x13C748FD, D(8)=0x55-0B-44-00-3D-6D-04-00
22.05.2024 9:50:08.892 CAN1 ID=0x13C749FD, D(8)=0x00-00-1C-C0-BA-E0-7A-D1
22.05.2024 9:50:08.892 CAN1 ID=0x13C74AFD, D(8)=0xAA-FF-03-75-05-00-00-00
22.05.2024 9:50:08.892 CAN1 ID=0x13C74BFD, D(8)=0xAC-9A-64-CA-D5-BB-B8-FF
22.05.2024 9:50:08.892 CAN1 ID=0x13C74CFD, D(8)=0x2E-DD-06-2C-00-14-14-F2
22.05.2024 9:50:08.892 CAN1 ID=0x13C74DFD, D(8)=0xAF-0C-AC-EC-90-FF-F1-F0
22.05.2024 9:50:08.892 CAN1 ID=0x13C74EFD, D(8)=0x07-00-00-00-8B-CC-F3-ED
22.05.2024 9:50:08.892 CAN2 ID=0x13C744FD, D(8)=0x00-00-00-00-00-00-80-29
22.05.2024 9:50:08.892 CAN2 ID=0x13C785FD, D(8)=0x00-00-C4-F4-55-55-55-55
22.05.2024 9:50:08.892 CAN2 ID=0x13C100FD, D(8)=0xFF-81-AA-0F-10-00-F7-00
22.05.2024 9:50:08.892 CAN2 ID=0x13C141FD, D(8)=0x50-6D-07-7B-E8-44-53-FF
22.05.2024 9:50:08.892 CAN2 ID=0x13C142FD, D(8)=0x88-02-0C-63-55-FD-5B-BD
22.05.2024 9:50:08.892 CAN2 ID=0x13C143FD, D(8)=0x36-02-00-00-00-00-00-00
22.05.2024 9:50:08.892 CAN2 ID=0x13C144FD, D(8)=0x00-00-00-00-00-00-80-29
22.05.2024 9:50:08.892 CAN2 ID=0x13C185FD, D(8)=0x00-00-C4-F4-55-55-55-55
22.05.2024 9:50:08.955 CAN1 ID=0x13C74FFD, D(8)=0x85-07-A1-FF-99-6C-08-11
22.05.2024 9:50:08.955 CAN1 ID=0x13C740FD, D(8)=0x00-15-AC-CC-F3-ED-E0-58
22.05.2024 9:50:08.955 CAN1 ID=0x13C741FD, D(8)=0xD2-FF-70-83-09-00-00-00
22.05.2024 9:50:08.955 CAN1 ID=0x13C742FD, D(8)=0xB8-AD-6D-35-EC-7D-A9-FF
22.05.2024 9:50:08.955 CAN1 ID=0x13C743FD, D(8)=0xF2-BB-0A-00-00-00-00-00
22.05.2024 9:50:08.955 CAN1 ID=0x13C744FD, D(8)=0x00-00-00-00-00-00-76-97
22.05.2024 9:50:08.955 CAN1 ID=0x13C745FD, D(8)=0x0B-00-00-00-D5-CB-B0-11
22.05.2024 9:50:08.955 CAN1 ID=0x13C746FD, D(8)=0x39-E2-BB-FF-F0-E2-0C-13
